src,trgt,Pearson
G0,G0,0
G0,G1,0.268696104970076
G0,G2,0.102887120543168
G0,G3,0.395486125748123
G0,G4,0.689064013358518
G0,G5,0.0533189703173474
G0,G6,0.853793791622239
G0,G7,0.780654188238381
G0,G8,1.00040446034639
G0,G9,0.867762724132961
G0,G10,0.903527353158914
G0,G11,0.188742809693195
G0,G12,0.955726886874847
G0,G13,0.0271806237677969
G0,G14,0.919455570923996
G0,G15,0.934736546940987
G0,G16,0.937001325717839
G0,G17,0.928709981726137
G0,G18,0.0114934258308624
G0,G19,0.0250047372397651
G0,G20,0.0199695733963148
G0,G21,0.830220975001829
G0,G22,0.0275884351862763
G0,G23,0.946950628642693
G0,G24,0.0211363738134273
G0,G25,0.0272790812504061
G0,G26,0.0199626172224292
G0,G27,0.0206717190714434
G0,G28,0.957959904476224
G0,G29,0.0215583711782665
G0,G30,0.026674582287019
G0,G31,0.0237454623725009
G0,G32,0.0191782580791132
G0,G33,0.0273959119766575
G0,G34,0.957635765321161
G0,G35,0.0250331905781976
G0,G36,0.58908331666285
G0,G37,0.933485563779929
G0,G38,0.185913892733531
G0,G39,0.0385728625899346
G0,G40,0.920018203108147
G0,G41,0.694489457498003
G0,G42,0.0412783062362407
G0,G43,0.930411249259383
G0,G44,0.0217905325069955
G0,G45,0.035796708254186
G0,G46,0.0228818980923105
G0,G47,0.0343868095954469
G0,G48,0.864556552245624
G0,G49,0.954955078400483
G0,G50,0.0192116699207382
G0,G51,0.948532059938922
G0,G52,0.977325172023798
G0,G53,0.732691211890207
G0,G54,0.900706483997341
G0,G55,0.798878138779418
G0,G56,0.0402797102460076
G0,G57,0.0208942245164426
G0,G58,0.964351607048793
G0,G59,0.0245887021913564
G0,G60,0.0351586254582615
G0,G61,0.934436839460604
G0,G62,0.969483405362698
G0,G63,0.0245842838711897
G0,G64,0.0365440526467123
G0,G65,0.971468773202838
G0,G66,0.924791555973255
G0,G67,0.0214728521277131
G0,G68,0.9423592788093
G0,G69,0.936702774882866
G0,G70,0.867393089000626
G0,G71,0.931131445971363
G0,G72,0.00970744915324573
G0,G73,0.0238539897237032
G0,G74,0.0504464029613737
G0,G75,0.0202039303317762
G0,G76,0.00016562172205112
G0,G77,0.393716721436246
G0,G78,0.999074809919382
G0,G79,0.0340603365297681
G0,G80,0.0176616932628533
G0,G81,0.929421824233548
G0,G82,0.0241788775858801
G0,G83,0.0208888965028993
G0,G84,0.779142006994832
G0,G85,0.337682567498935
G0,G86,0.030603618365759
G0,G87,0.0218792840216427
G0,G88,0.36241539014506
G0,G89,0.0367189713908871
G0,G90,0.249736095170846
G0,G91,0.922676910554075
G0,G92,0.0596754257049905
G0,G93,0.935958666552696
G0,G94,0.0039496248276667
G0,G95,0.012948842473653
G0,G96,0.928980498738463
G0,G97,0.909977644401173
G0,G98,0.026248488832064
G0,G99,0.857473888729926
G1,G0,0.268696104970076
G1,G1,0
G1,G2,0.215954992253645
G1,G3,0.603530703010835
G1,G4,0.108698780972941
G1,G5,0.00318334029493279
G1,G6,0.135841991879953
G1,G7,0.108726297546486
G1,G8,0.185418037393474
G1,G9,0.2178981146761
G1,G10,0.211057070264405
G1,G11,0.167969575599773
G1,G12,0.201839210981647
G1,G13,0.00869629622340922
G1,G14,0.206793349135401
G1,G15,0.205114174858571
G1,G16,0.211163498624751
G1,G17,0.20475523452899
G1,G18,0.040653561962389
